"ppn","school","class","nom_like","SUS_1","SUS_2","SUS_3","SUS_4","SUS_5","SUS_6","SUS_7","SUS_8","group","cond_name","X1_SELF_2easy40","X1_SELF_6easy40","X1_SELF_10easy40","X1_SELF_2hard90","X1_SELF_6hard90","X1_SELF_10hard90","X1_CLIMATE_2easy40","X1_CLIMATE_6easy40","X1_CLIMATE_10easy40","X1_CLIMATE_2hard90","X1_CLIMATE_6hard90","X1_CLIMATE_10hard90","X1_OTHERS_2easy40","X1_OTHERS_6easy40","X1_OTHERS_10easy40","X1_OTHERS_2hard90","X1_OTHERS_6hard90","X1_OTHERS_10hard90","X2_SELF_2easy40","X2_SELF_6easy40","X2_SELF_10easy40","X2_SELF_2hard90","X2_SELF_6hard90","X2_SELF_10hard90","X2_CLIMATE_2easy40","X2_CLIMATE_6easy40","X2_CLIMATE_10easy40","X2_CLIMATE_2hard90","X2_CLIMATE_6hard90","X2_CLIMATE_10hard90","X2_OTHERS_2easy40","X2_OTHERS_6easy40","X2_OTHERS_10easy40","X2_OTHERS_2hard90","X2_OTHERS_6hard90","X2_OTHERS_10hard90","SUS_social_anxiety","SUS_peers_self_esteem","SUS_total","SUS_total_c"
"172","2","5","161,176,179",3,4,3,5,3,3,4,3,"control","control",1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.25,3.75,3.5,0.951740506329114
"173","2","5","163,166,180",3,3,2,3,3,3,3,3,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.75,3,2.875,0.326740506329114
"174","2","5","162,166,169,175,182",2,3,2,4,2,2,2,1,"control","control",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.5,2.25,-0.298259493670886
"175","2","5","159,162,169,174",2,3,2,1,2,3,1,1,"low_norm","neg_social_norm",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.75,2,1.875,-0.673259493670886
"177","2","5","164,167,170,174,178",2,5,4,5,5,4,5,1,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3.75,3.875,1.32674050632911
"179","2","5","161",5,4,5,3,5,5,5,5,"low_norm","neg_social_norm",1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,4.25,4.625,2.07674050632911
"181","2","5","157,160,171,176,181",2,2,2,3,3,2,3,2,"low_norm","neg_social_norm",1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,2.25,2.375,-0.173259493670886
"184","2","5","165",1,1,1,1,1,1,1,1,"high_norm","pos_social_norm",1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,-1.54825949367089
"188","3","8","193,194,195,196,198",3,4,3,3,3,2,4,3,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.25,3,3.125,0.576740506329114
"192","3","8","199,202,203,205,209",2,3,1,5,1,3,2,3,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,3.5,2.5,-0.0482594936708862
"201","3","8","187,190,197,204,210",3,3,1,1,2,2,1,1,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.75,1.75,1.75,-0.798259493670886
"218","3","9","231",5,5,4,5,4,5,5,3,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5,4.5,4.5,1.95174050632911
"219","3","9","218,222,224,235,240",2,4,3,5,3,5,3,5,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.75,4.75,3.75,1.20174050632911
"221","3","9","218,223,225,249",3,5,1,5,1,3,2,1,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,1.75,3.5,2.625,0.0767405063291138
"222","3","9","219,234,241",3,3,4,4,3,3,4,3,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5,3.25,3.375,0.826740506329114
"223","3","9",NA,4,5,1,3,1,2,4,5,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,3.75,3.125,0.576740506329114
"224","3","9","218,222,230,239,240",2,1,1,1,1,1,1,1,"high_norm","pos_social_norm",1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1.25,1,1.125,-1.42325949367089
"225","3","9","218,222,226,229,240",5,4,2,4,3,5,4,3,"control","control",2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,2,2,2,2,1,1,1,2,2,2,3.5,4,3.75,1.20174050632911
"229","3","9","223,226,234",3,5,3,1,3,3,3,1,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2.5,2.75,0.201740506329114
"230","3","9","218,222,227,229,234",2,3,2,2,2,2,3,3,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.25,2.5,2.375,-0.173259493670886
"233","3","9","243",2,2,2,4,2,2,2,5,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3.25,2.625,0.0767405063291138
"235","3","9","219,224,235,239,240",2,2,1,3,2,1,1,2,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1.5,2,1.75,-0.798259493670886
"236","3","9","237,238",2,4,3,4,3,3,3,3,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.75,3.5,3.125,0.576740506329114
"237","3","9","233,235,241,243",2,3,3,4,2,2,1,2,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.75,2.375,-0.173259493670886
"238","3","9","238",4,3,3,3,3,3,3,3,"high_norm","pos_social_norm",2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.25,3,3.125,0.576740506329114
"239","3","9","218,222,235,250",2,3,2,3,2,3,2,2,"low_norm","neg_social_norm",1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.75,2.375,-0.173259493670886
"240","3","9","219,222,224,235,239",2,2,1,4,2,3,3,1,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.5,2.25,-0.298259493670886
"241","3","9","218,222,247",4,3,4,3,4,2,5,3,"high_norm","pos_social_norm",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,4.25,2.75,3.5,0.951740506329114
"242","3","9","220,228,233,238,246",1,2,2,4,1,2,1,1,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,2.25,1.75,-0.798259493670886
"243","3","9","220,231,232,233,246",1,1,1,1,1,1,1,1,"high_norm","pos_social_norm",1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,-1.54825949367089
"245","3","9","228,237,246,247",2,2,1,4,1,1,1,2,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,2.25,1.75,-0.798259493670886
"246","3","9","232,237,238,245,247",4,3,2,5,3,4,2,3,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.75,3.75,3.25,0.701740506329114
"247","3","9","218,228,246,247,248",1,1,1,1,1,1,1,1,"low_norm","neg_social_norm",1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,-1.54825949367089
"249","3","9","218,222",4,3,3,5,4,3,3,2,"control","control",2,1,1,2,2,1,2,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,3.5,3.25,3.375,0.826740506329114
"253","3","10","263,276",NA,NA,NA,NA,NA,NA,NA,NA,"low_norm","neg_social_norm",1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,2,2,2,1,1,2,2,1,1,2,1,2,2,2,NA,NA,NA,NA
"256","3","10","257,268",3,2,2,4,3,3,4,2,"low_norm","neg_social_norm",1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,3,2.75,2.875,0.326740506329114
"260","3","10","262,266",NA,NA,NA,NA,NA,NA,NA,NA,"control","control",1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
"261","3","10","262,276,277",2,1,2,3,1,1,2,3,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1.75,2,1.875,-0.673259493670886
"262","3","10","261,263,276,277,282",3,2,3,3,3,3,2,2,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.75,2.5,2.625,0.0767405063291138
"263","3","10","253,264",2,2,1,2,2,3,2,1,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.75,2,1.875,-0.673259493670886
"264","3","10","253,255,272,276,282",1,2,1,3,2,2,1,1,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,2,1.625,-0.923259493670886
"266","3","10","260,261,262,277,281",NA,NA,NA,NA,NA,NA,NA,NA,"control","control",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
"269","3","10","273",1,1,1,1,1,1,1,1,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.54825949367089
"270","3","10","259",2,2,1,4,2,3,2,2,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.75,2.75,2.25,-0.298259493670886
"274","3","10","265,270,273,275",1,1,1,1,1,1,1,1,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.54825949367089
"278","3","10","254,260,265,278",3,3,3,3,3,3,3,3,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,3,3,3,0.451740506329114
"283","3","11","303",3,2,1,4,4,3,4,2,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2.75,2.875,0.326740506329114
"296","3","11","287,307",NA,NA,NA,NA,NA,NA,NA,NA,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
"297","3","11","292",3,3,2,3,4,2,3,3,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2.75,2.875,0.326740506329114
"302","3","11","285,304,309,313",1,3,2,3,2,2,3,4,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2.5,-0.0482594936708862
"303","3","11","298,308",3,3,3,4,3,3,2,4,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2.75,3.5,3.125,0.576740506329114
"305","3","11","283,288,303,312",2,4,2,4,1,3,1,1,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,3,2.25,-0.298259493670886
"315","3","12","318,332,335,337,338",3,4,2,3,1,2,1,3,"control","control",1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1.75,3,2.375,-0.173259493670886
"317","3","12","315,318,334,337",3,4,1,3,1,2,5,1,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,2.5,2.5,-0.0482594936708862
"319","3","12","316,321,322,330,341",3,3,3,3,2,3,4,3,"high_norm","pos_social_norm",1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,0.451740506329114
"322","3","12","315",2,2,2,5,2,3,2,2,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,3,2.5,-0.0482594936708862
"325","3","12","322",2,4,2,3,2,3,3,2,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.25,3,2.625,0.0767405063291138
"326","3","12","315,317,327,335,340",5,5,4,5,1,3,5,1,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.75,3.5,3.625,1.07674050632911
"330","3","12","319,321,345",3,2,2,2,2,2,1,1,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.75,1.875,-0.673259493670886
"331","3","12","315,330,335,339,344",3,4,2,1,2,3,3,2,"control","control",1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.5,2.5,2.5,-0.0482594936708862
"335","3","12","315,318,331,337,346",4,5,5,2,5,5,4,3,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4.5,3.75,4.125,1.57674050632911
"338","3","12","315,318,335,337",2,2,2,2,2,2,2,2,"low_norm","neg_social_norm",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,-0.548259493670886
"340","3","12","326,327,336",2,3,1,3,1,3,1,1,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1.25,2.5,1.875,-0.673259493670886
"341","3","12","321,322,325,330,333",1,1,1,3,1,1,3,1,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,-1.04825949367089
"344","3","12","326,327,329,331,340",3,3,3,3,3,3,3,3,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,0.451740506329114
"346","3","12","338",2,2,2,4,2,2,3,2,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.25,2.5,2.375,-0.173259493670886
"347","3","13","352,358,366",3,3,3,4,2,4,3,3,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.75,3.5,3.125,0.576740506329114
"348","3","13","356,368",2,3,2,4,2,4,1,3,"low_norm","neg_social_norm",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.75,3.5,2.625,0.0767405063291138
"349","3","13","347,351,354,358,367",2,4,1,4,1,1,1,1,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,2.5,1.875,-0.673259493670886
"350","3","13","350,354,357,359,361",3,3,3,4,3,5,3,3,"control","control",1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3.75,3.375,0.826740506329114
"351","3","13","349",5,1,5,5,5,5,5,5,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,4,4.5,1.95174050632911
"353","3","13","359,360,363",2,1,3,5,3,5,1,2,"low_norm","neg_social_norm",1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2.25,3.25,2.75,0.201740506329114
"357","3","13","350,354,362,364,367",2,2,1,2,1,1,3,1,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1.75,1.5,1.625,-0.923259493670886
"358","3","13","347,352,362,364,366",1,1,1,4,1,1,1,2,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,-1.04825949367089
"359","3","13",NA,4,3,4,3,4,3,2,2,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5,2.75,3.125,0.576740506329114
"360","3","13","352,355,359,363,369",1,1,1,1,1,1,1,1,"control","control",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1,1,1,1,-1.54825949367089
"362","3","13","350,354,358,360,366",1,3,1,4,1,1,2,1,"high_norm","pos_social_norm",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,2.25,1.75,-0.798259493670886
"363","3","13","365,369",1,3,1,3,1,1,1,1,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,-1.04825949367089
"364","3","13","347,349,354,357,358",1,1,1,3,1,1,1,1,"high_norm","pos_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.25,-1.29825949367089
"365","3","13","354,363",2,2,2,4,2,2,2,1,"high_norm","pos_social_norm",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.25,2.125,-0.423259493670886
"366","3","13","347,351,358,362,363",1,1,1,1,1,1,1,1,"high_norm","pos_social_norm",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.54825949367089
"367","3","13","349,350,351,354,358",1,1,1,1,1,1,1,1,"control","control",1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1.54825949367089
"368","3","13","348",1,3,2,3,2,2,3,4,"high_norm","pos_social_norm",1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,3,2.5,-0.0482594936708862
"369","3","13","359,360,363",1,2,2,3,1,1,1,2,"low_norm","neg_social_norm",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.25,2,1.625,-0.923259493670886
